State,County,Method of production,County_fips,County_full,State_ac,concatenated
Florida,Manatee,Conventional,12081,Manatee County,FL,"Manatee County, FL"
Florida,Osceola,Conventional,12097,Osceola County,FL,"Osceola County, FL"
Florida,Lake,Conventional,12069,Lake County,FL,"Lake County, FL"
Florida,Collier,Conventional,12021,Collier County,FL,"Collier County, FL"
Florida,Marion,Conventional,12083,Marion County,FL,"Marion County, FL"
Florida,Escambia,Conventional,12033,Escambia County,FL,"Escambia County, FL"
Florida,Leon,Conventional,12073,Leon County,FL,"Leon County, FL"
Florida,Alachua,Conventional,12001,Alachua County,FL,"Alachua County, FL"
Florida,Clay,Conventional,12019,Clay County,FL,"Clay County, FL"
Florida,Okaloosa,Conventional,12091,Okaloosa County,FL,"Okaloosa County, FL"
Florida,Hernando,Conventional,12053,Hernando County,FL,"Hernando County, FL"
Florida,Charlotte,Conventional,12015,Charlotte County,FL,"Charlotte County, FL"
Florida,Santa Rosa,Conventional,12113,Santa Rosa County,FL,"Santa Rosa County, FL"
Florida,Bay,Conventional,12005,Bay County,FL,"Bay County, FL"
Florida,Indian River,Conventional,12061,Indian River County,FL,"Indian River County, FL"
Florida,Martin,Conventional,12085,Martin County,FL,"Martin County, FL"
Florida,Citrus,Conventional,12017,Citrus County,FL,"Citrus County, FL"
Florida,Sumter,Conventional,12119,Sumter County,FL,"Sumter County, FL"
Florida,Flagler,Conventional,12035,Flagler County,FL,"Flagler County, FL"
Florida,Highlands,Conventional,12055,Highlands County,FL,"Highlands County, FL"
Florida,Nassau,Conventional,12089,Nassau County,FL,"Nassau County, FL"
Florida,Walton,Conventional,12131,Walton County,FL,"Walton County, FL"
Florida,Putnam,Conventional,12107,Putnam County,FL,"Putnam County, FL"
Florida,Columbia,Conventional,12023,Columbia County,FL,"Columbia County, FL"
Florida,Jackson,Conventional,12063,Jackson County,FL,"Jackson County, FL"
Florida,Suwannee,Conventional,12121,Suwannee County,FL,"Suwannee County, FL"
Florida,Gadsden,Conventional,12039,Gadsden County,FL,"Gadsden County, FL"
Florida,Levy,Conventional,12075,Levy County,FL,"Levy County, FL"
Florida,Hendry,Conventional,12051,Hendry County,FL,"Hendry County, FL"
Florida,DeSoto,Conventional,12027,DeSoto County,FL,"DeSoto County, FL"
Florida,Wakulla,Conventional,12129,Wakulla County,FL,"Wakulla County, FL"
Florida,Bradford,Conventional,12007,Bradford County,FL,"Bradford County, FL"
Florida,Hardee,Conventional,12049,Hardee County,FL,"Hardee County, FL"
Florida,Washington,Conventional,12133,Washington County,FL,"Washington County, FL"
Florida,Taylor,Conventional,12123,Taylor County,FL,"Taylor County, FL"
Florida,Holmes,Conventional,12059,Holmes County,FL,"Holmes County, FL"
Florida,Gilchrist,Conventional,12041,Gilchrist County,FL,"Gilchrist County, FL"
Florida,Madison,Conventional,12079,Madison County,FL,"Madison County, FL"
Florida,Dixie,Conventional,12029,Dixie County,FL,"Dixie County, FL"
Florida,Union,Conventional,12125,Union County,FL,"Union County, FL"
Florida,Gulf,Conventional,12045,Gulf County,FL,"Gulf County, FL"
Florida,Jefferson,Conventional,12065,Jefferson County,FL,"Jefferson County, FL"
Florida,Calhoun,Conventional,12013,Calhoun County,FL,"Calhoun County, FL"
Florida,Hamilton,Conventional,12047,Hamilton County,FL,"Hamilton County, FL"
Florida,Glades,Conventional,12043,Glades County,FL,"Glades County, FL"
Florida,Liberty,Conventional,12077,Liberty County,FL,"Liberty County, FL"
Indiana,Marion,Conventional,18097,Marion County,IN,"Marion County, IN"
Indiana,Lake,Conventional,18089,Lake County,IN,"Lake County, IN"
Indiana,Allen,Conventional,18003,Allen County,IN,"Allen County, IN"
Indiana,Hamilton,Conventional,18057,Hamilton County,IN,"Hamilton County, IN"
Indiana,Elkhart,Conventional,18039,Elkhart County,IN,"Elkhart County, IN"
Indiana,Tippecanoe,Conventional,18157,Tippecanoe County,IN,"Tippecanoe County, IN"
Indiana,Vanderburgh,Conventional,18163,Vanderburgh County,IN,"Vanderburgh County, IN"
Indiana,Hendricks,Conventional,18063,Hendricks County,IN,"Hendricks County, IN"
Indiana,Porter,Conventional,18127,Porter County,IN,"Porter County, IN"
Indiana,Johnson,Conventional,18081,Johnson County,IN,"Johnson County, IN"
Indiana,Monroe,Conventional,18105,Monroe County,IN,"Monroe County, IN"
Indiana,Madison,Conventional,18095,Madison County,IN,"Madison County, IN"
Indiana,Clark,Conventional,18019,Clark County,IN,"Clark County, IN"
Indiana,LaPorte,Conventional,18091,LaPorte County,IN,"LaPorte County, IN"
Indiana,Delaware,Conventional,18035,Delaware County,IN,"Delaware County, IN"
Indiana,Vigo,Conventional,18167,Vigo County,IN,"Vigo County, IN"
Indiana,Howard,Conventional,18067,Howard County,IN,"Howard County, IN"
Indiana,Bartholomew,Conventional,18005,Bartholomew County,IN,"Bartholomew County, IN"
Indiana,Kosciusko,Conventional,18085,Kosciusko County,IN,"Kosciusko County, IN"
Indiana,Floyd,Conventional,18043,Floyd County,IN,"Floyd County, IN"
Indiana,Hancock,Conventional,18059,Hancock County,IN,"Hancock County, IN"
Indiana,Morgan,Conventional,18109,Morgan County,IN,"Morgan County, IN"
Indiana,Boone,Conventional,18011,Boone County,IN,"Boone County, IN"
Indiana,Grant,Conventional,18053,Grant County,IN,"Grant County, IN"
Indiana,Wayne,Conventional,18177,Wayne County,IN,"Wayne County, IN"
Indiana,Warrick,Conventional,18173,Warrick County,IN,"Warrick County, IN"
Indiana,Dearborn,Conventional,18029,Dearborn County,IN,"Dearborn County, IN"
Indiana,Henry,Conventional,18065,Henry County,IN,"Henry County, IN"
Indiana,Noble,Conventional,18113,Noble County,IN,"Noble County, IN"
Indiana,Jackson,Conventional,18071,Jackson County,IN,"Jackson County, IN"
Indiana,Marshall,Conventional,18099,Marshall County,IN,"Marshall County, IN"
Indiana,Lawrence,Conventional,18093,Lawrence County,IN,"Lawrence County, IN"
Indiana,Shelby,Conventional,18145,Shelby County,IN,"Shelby County, IN"
Indiana,Dubois,Conventional,18037,Dubois County,IN,"Dubois County, IN"
Indiana,DeKalb,Conventional,18033,DeKalb County,IN,"DeKalb County, IN"
Indiana,LaGrange,Conventional,18087,LaGrange County,IN,"LaGrange County, IN"
Indiana,Harrison,Conventional,18061,Harrison County,IN,"Harrison County, IN"
Indiana,Montgomery,Conventional,18107,Montgomery County,IN,"Montgomery County, IN"
Indiana,Cass,Conventional,18017,Cass County,IN,"Cass County, IN"
Indiana,Putnam,Conventional,18133,Putnam County,IN,"Putnam County, IN"
Indiana,Huntington,Conventional,18069,Huntington County,IN,"Huntington County, IN"
Indiana,Knox,Conventional,18083,Knox County,IN,"Knox County, IN"
Indiana,Miami,Conventional,18103,Miami County,IN,"Miami County, IN"
Indiana,Adams,Conventional,18001,Adams County,IN,"Adams County, IN"
Indiana,Steuben,Conventional,18151,Steuben County,IN,"Steuben County, IN"
Indiana,Whitley,Conventional,18183,Whitley County,IN,"Whitley County, IN"
Indiana,Daviess,Conventional,18027,Daviess County,IN,"Daviess County, IN"
Indiana,Jefferson,Conventional,18077,Jefferson County,IN,"Jefferson County, IN"
Indiana,Jasper,Conventional,18073,Jasper County,IN,"Jasper County, IN"
Indiana,Clinton,Conventional,18023,Clinton County,IN,"Clinton County, IN"
Indiana,Gibson,Conventional,18051,Gibson County,IN,"Gibson County, IN"
Indiana,Wabash,Conventional,18169,Wabash County,IN,"Wabash County, IN"
Indiana,Greene,Conventional,18055,Greene County,IN,"Greene County, IN"
Indiana,Ripley,Conventional,18137,Ripley County,IN,"Ripley County, IN"
Indiana,Wells,Conventional,18179,Wells County,IN,"Wells County, IN"
Indiana,Washington,Conventional,18175,Washington County,IN,"Washington County, IN"
Indiana,Jennings,Conventional,18079,Jennings County,IN,"Jennings County, IN"
Indiana,Decatur,Conventional,18031,Decatur County,IN,"Decatur County, IN"
Indiana,Clay,Conventional,18021,Clay County,IN,"Clay County, IN"
Indiana,Posey,Conventional,18129,Posey County,IN,"Posey County, IN"
Indiana,White,Conventional,18181,White County,IN,"White County, IN"
Indiana,Randolph,Conventional,18135,Randolph County,IN,"Randolph County, IN"
Indiana,Scott,Conventional,18143,Scott County,IN,"Scott County, IN"
Indiana,Fayette,Conventional,18041,Fayette County,IN,"Fayette County, IN"
Indiana,Starke,Conventional,18149,Starke County,IN,"Starke County, IN"
Indiana,Franklin,Conventional,18047,Franklin County,IN,"Franklin County, IN"
Indiana,Owen,Conventional,18119,Owen County,IN,"Owen County, IN"
Indiana,Sullivan,Conventional,18153,Sullivan County,IN,"Sullivan County, IN"
Indiana,Jay,Conventional,18075,Jay County,IN,"Jay County, IN"
Indiana,Fulton,Conventional,18049,Fulton County,IN,"Fulton County, IN"
Indiana,Carroll,Conventional,18015,Carroll County,IN,"Carroll County, IN"
Indiana,Spencer,Conventional,18147,Spencer County,IN,"Spencer County, IN"
Indiana,Orange,Conventional,18117,Orange County,IN,"Orange County, IN"
Indiana,Perry,Conventional,18123,Perry County,IN,"Perry County, IN"
Indiana,Rush,Conventional,18139,Rush County,IN,"Rush County, IN"
Indiana,Fountain,Conventional,18045,Fountain County,IN,"Fountain County, IN"
Indiana,Parke,Conventional,18121,Parke County,IN,"Parke County, IN"
Indiana,Brown,Conventional,18013,Brown County,IN,"Brown County, IN"
Indiana,Tipton,Conventional,18159,Tipton County,IN,"Tipton County, IN"
Indiana,Pulaski,Conventional,18131,Pulaski County,IN,"Pulaski County, IN"
Indiana,Pike,Conventional,18125,Pike County,IN,"Pike County, IN"
Indiana,Crawford,Conventional,18025,Crawford County,IN,"Crawford County, IN"
Indiana,Switzerland,Conventional,18155,Switzerland County,IN,"Switzerland County, IN"
Indiana,Martin,Conventional,18101,Martin County,IN,"Martin County, IN"
Indiana,Benton,Conventional,18007,Benton County,IN,"Benton County, IN"
Indiana,Warren,Conventional,18171,Warren County,IN,"Warren County, IN"
Indiana,Union,Conventional,18161,Union County,IN,"Union County, IN"
Indiana,Ohio,Conventional,18115,Ohio County,IN,"Ohio County, IN"
Michigan,Wayne,Conventional,26163,Wayne County,MI,"Wayne County, MI"
Michigan,Oakland,Conventional,26125,Oakland County,MI,"Oakland County, MI"
Michigan,Macomb,Conventional,26099,Macomb County,MI,"Macomb County, MI"
Michigan,Kent,Conventional,26081,Kent County,MI,"Kent County, MI"
Michigan,Genesee,Conventional,26049,Genesee County,MI,"Genesee County, MI"
Michigan,Washtenaw,Conventional,26161,Washtenaw County,MI,"Washtenaw County, MI"
Michigan,Ottawa,Conventional,26139,Ottawa County,MI,"Ottawa County, MI"
Michigan,Ingham,Conventional,26065,Ingham County,MI,"Ingham County, MI"
Michigan,Kalamazoo,Conventional,26077,Kalamazoo County,MI,"Kalamazoo County, MI"
Michigan,Livingston,Conventional,26093,Livingston County,MI,"Livingston County, MI"
Michigan,Saginaw,Conventional,26145,Saginaw County,MI,"Saginaw County, MI"
Michigan,Muskegon,Conventional,26121,Muskegon County,MI,"Muskegon County, MI"
Michigan,Jackson,Conventional,26075,Jackson County,MI,"Jackson County, MI"
Michigan,Monroe,Conventional,26115,Monroe County,MI,"Monroe County, MI"
Michigan,Berrien,Conventional,26021,Berrien County,MI,"Berrien County, MI"
Michigan,Calhoun,Conventional,26025,Calhoun County,MI,"Calhoun County, MI"
Michigan,Allegan,Conventional,26005,Allegan County,MI,"Allegan County, MI"
Michigan,Eaton,Conventional,26045,Eaton County,MI,"Eaton County, MI"
Michigan,Bay,Conventional,26017,Bay County,MI,"Bay County, MI"
Michigan,Lenawee,Conventional,26091,Lenawee County,MI,"Lenawee County, MI"
Michigan,Grand Traverse,Conventional,26055,Grand Traverse County,MI,"Grand Traverse County, MI"
Michigan,Lapeer,Conventional,26087,Lapeer County,MI,"Lapeer County, MI"
Michigan,Midland,Conventional,26111,Midland County,MI,"Midland County, MI"
Michigan,Clinton,Conventional,26037,Clinton County,MI,"Clinton County, MI"
Michigan,Van Buren,Conventional,26159,Van Buren County,MI,"Van Buren County, MI"
Michigan,Shiawassee,Conventional,26155,Shiawassee County,MI,"Shiawassee County, MI"
Michigan,Montcalm,Conventional,26117,Montcalm County,MI,"Montcalm County, MI"
Michigan,Ionia,Conventional,26067,Ionia County,MI,"Ionia County, MI"
Michigan,Marquette,Conventional,26103,Marquette County,MI,"Marquette County, MI"
Michigan,Isabella,Conventional,26073,Isabella County,MI,"Isabella County, MI"
Michigan,Barry,Conventional,26015,Barry County,MI,"Barry County, MI"
Michigan,Tuscola,Conventional,26157,Tuscola County,MI,"Tuscola County, MI"
Michigan,Cass,Conventional,26027,Cass County,MI,"Cass County, MI"
Michigan,Newaygo,Conventional,26123,Newaygo County,MI,"Newaygo County, MI"
Michigan,Hillsdale,Conventional,26059,Hillsdale County,MI,"Hillsdale County, MI"
Michigan,Branch,Conventional,26023,Branch County,MI,"Branch County, MI"
Michigan,Gratiot,Conventional,26057,Gratiot County,MI,"Gratiot County, MI"
Michigan,Sanilac,Conventional,26151,Sanilac County,MI,"Sanilac County, MI"
Michigan,Mecosta,Conventional,26107,Mecosta County,MI,"Mecosta County, MI"
Michigan,Houghton,Conventional,26061,Houghton County,MI,"Houghton County, MI"
Michigan,Delta,Conventional,26041,Delta County,MI,"Delta County, MI"
Michigan,Chippewa,Conventional,26033,Chippewa County,MI,"Chippewa County, MI"
Michigan,Emmet,Conventional,26047,Emmet County,MI,"Emmet County, MI"
Michigan,Wexford,Conventional,26165,Wexford County,MI,"Wexford County, MI"
Michigan,Huron,Conventional,26063,Huron County,MI,"Huron County, MI"
Michigan,Clare,Conventional,26035,Clare County,MI,"Clare County, MI"
Michigan,Mason,Conventional,26105,Mason County,MI,"Mason County, MI"
Michigan,Alpena,Conventional,26007,Alpena County,MI,"Alpena County, MI"
Michigan,Oceana,Conventional,26127,Oceana County,MI,"Oceana County, MI"
Michigan,Charlevoix,Conventional,26029,Charlevoix County,MI,"Charlevoix County, MI"
Michigan,Dickinson,Conventional,26043,Dickinson County,MI,"Dickinson County, MI"
Michigan,Cheboygan,Conventional,26031,Cheboygan County,MI,"Cheboygan County, MI"
Michigan,Gladwin,Conventional,26051,Gladwin County,MI,"Gladwin County, MI"
Michigan,Iosco,Conventional,26069,Iosco County,MI,"Iosco County, MI"
Michigan,Otsego,Conventional,26137,Otsego County,MI,"Otsego County, MI"
Michigan,Manistee,Conventional,26101,Manistee County,MI,"Manistee County, MI"
Michigan,Antrim,Conventional,26009,Antrim County,MI,"Antrim County, MI"
Michigan,Roscommon,Conventional,26143,Roscommon County,MI,"Roscommon County, MI"
Michigan,Menominee,Conventional,26109,Menominee County,MI,"Menominee County, MI"
Michigan,Osceola,Conventional,26133,Osceola County,MI,"Osceola County, MI"
Michigan,Leelanau,Conventional,26089,Leelanau County,MI,"Leelanau County, MI"
Michigan,Ogemaw,Conventional,26129,Ogemaw County,MI,"Ogemaw County, MI"
Michigan,Benzie,Conventional,26019,Benzie County,MI,"Benzie County, MI"
Michigan,Kalkaska,Conventional,26079,Kalkaska County,MI,"Kalkaska County, MI"
Michigan,Missaukee,Conventional,26113,Missaukee County,MI,"Missaukee County, MI"
Michigan,Arenac,Conventional,26011,Arenac County,MI,"Arenac County, MI"
Michigan,Gogebic,Conventional,26053,Gogebic County,MI,"Gogebic County, MI"
Michigan,Crawford,Conventional,26039,Crawford County,MI,"Crawford County, MI"
Michigan,Presque Isle,Conventional,26141,Presque Isle County,MI,"Presque Isle County, MI"
Michigan,Lake,Conventional,26085,Lake County,MI,"Lake County, MI"
Michigan,Iron,Conventional,26071,Iron County,MI,"Iron County, MI"
Michigan,Mackinac,Conventional,26097,Mackinac County,MI,"Mackinac County, MI"
Michigan,Alcona,Conventional,26001,Alcona County,MI,"Alcona County, MI"
Michigan,Montmorency,Conventional,26119,Montmorency County,MI,"Montmorency County, MI"
Michigan,Alger,Conventional,26003,Alger County,MI,"Alger County, MI"
Michigan,Oscoda,Conventional,26135,Oscoda County,MI,"Oscoda County, MI"
Michigan,Baraga,Conventional,26013,Baraga County,MI,"Baraga County, MI"
Michigan,Ontonagon,Conventional,26131,Ontonagon County,MI,"Ontonagon County, MI"
Michigan,Luce,Conventional,26095,Luce County,MI,"Luce County, MI"
New Jersey,Bergen,Conventional,34003,Bergen County,NJ,"Bergen County, NJ"
New Jersey,Middlesex,Conventional,34023,Middlesex County,NJ,"Middlesex County, NJ"
New Jersey,Essex,Conventional,34013,Essex County,NJ,"Essex County, NJ"
New Jersey,Monmouth,Conventional,34025,Monmouth County,NJ,"Monmouth County, NJ"
New Jersey,Ocean,Conventional,34029,Ocean County,NJ,"Ocean County, NJ"
New Jersey,Union,Conventional,34039,Union County,NJ,"Union County, NJ"
New Jersey,Camden,Conventional,34007,Camden County,NJ,"Camden County, NJ"
New Jersey,Passaic,Conventional,34031,Passaic County,NJ,"Passaic County, NJ"
New Jersey,Morris,Conventional,34027,Morris County,NJ,"Morris County, NJ"
New Jersey,Burlington,Conventional,34005,Burlington County,NJ,"Burlington County, NJ"
New Jersey,Mercer,Conventional,34021,Mercer County,NJ,"Mercer County, NJ"
New Jersey,Somerset,Conventional,34035,Somerset County,NJ,"Somerset County, NJ"
New Jersey,Gloucester,Conventional,34015,Gloucester County,NJ,"Gloucester County, NJ"
New Jersey,Atlantic,Conventional,34001,Atlantic County,NJ,"Atlantic County, NJ"
New Jersey,Cumberland,Conventional,34011,Cumberland County,NJ,"Cumberland County, NJ"
New Jersey,Sussex,Conventional,34037,Sussex County,NJ,"Sussex County, NJ"
New Jersey,Hunterdon,Conventional,34019,Hunterdon County,NJ,"Hunterdon County, NJ"
New Jersey,Warren,Conventional,34041,Warren County,NJ,"Warren County, NJ"
New Jersey,Cape May,Conventional,34009,Cape May County,NJ,"Cape May County, NJ"
New Jersey,Salem,Conventional,34033,Salem County,NJ,"Salem County, NJ"
North Carolina,Wake,Conventional,37183,Wake County,NC,"Wake County, NC"
North Carolina,Mecklenburg,Conventional,37119,Mecklenburg County,NC,"Mecklenburg County, NC"
North Carolina,Guilford,Conventional,37081,Guilford County,NC,"Guilford County, NC"
North Carolina,Forsyth,Conventional,37067,Forsyth County,NC,"Forsyth County, NC"
North Carolina,Cumberland,Conventional,37051,Cumberland County,NC,"Cumberland County, NC"
North Carolina,Durham,Conventional,37063,Durham County,NC,"Durham County, NC"
North Carolina,Buncombe,Conventional,37021,Buncombe County,NC,"Buncombe County, NC"
North Carolina,Union,Conventional,37179,Union County,NC,"Union County, NC"
North Carolina,Gaston,Conventional,37071,Gaston County,NC,"Gaston County, NC"
North Carolina,New Hanover,Conventional,37129,New Hanover County,NC,"New Hanover County, NC"
North Carolina,Cabarrus,Conventional,37025,Cabarrus County,NC,"Cabarrus County, NC"
North Carolina,Johnston,Conventional,37101,Johnston County,NC,"Johnston County, NC"
North Carolina,Onslow,Conventional,37133,Onslow County,NC,"Onslow County, NC"
North Carolina,Iredell,Conventional,37097,Iredell County,NC,"Iredell County, NC"
North Carolina,Alamance,Conventional,37001,Alamance County,NC,"Alamance County, NC"
North Carolina,Pitt,Conventional,37147,Pitt County,NC,"Pitt County, NC"
North Carolina,Davidson,Conventional,37057,Davidson County,NC,"Davidson County, NC"
North Carolina,Catawba,Conventional,37035,Catawba County,NC,"Catawba County, NC"
North Carolina,Rowan,Conventional,37159,Rowan County,NC,"Rowan County, NC"
North Carolina,Orange,Conventional,37135,Orange County,NC,"Orange County, NC"
North Carolina,Randolph,Conventional,37151,Randolph County,NC,"Randolph County, NC"
North Carolina,Brunswick,Conventional,37019,Brunswick County,NC,"Brunswick County, NC"
North Carolina,Harnett,Conventional,37085,Harnett County,NC,"Harnett County, NC"
North Carolina,Robeson,Conventional,37155,Robeson County,NC,"Robeson County, NC"
North Carolina,Wayne,Conventional,37191,Wayne County,NC,"Wayne County, NC"
North Carolina,Henderson,Conventional,37089,Henderson County,NC,"Henderson County, NC"
North Carolina,Craven,Conventional,37049,Craven County,NC,"Craven County, NC"
North Carolina,Moore,Conventional,37125,Moore County,NC,"Moore County, NC"
North Carolina,Cleveland,Conventional,37045,Cleveland County,NC,"Cleveland County, NC"
North Carolina,Nash,Conventional,37127,Nash County,NC,"Nash County, NC"
North Carolina,Rockingham,Conventional,37157,Rockingham County,NC,"Rockingham County, NC"
North Carolina,Lincoln,Conventional,37109,Lincoln County,NC,"Lincoln County, NC"
North Carolina,Burke,Conventional,37023,Burke County,NC,"Burke County, NC"
North Carolina,Caldwell,Conventional,37027,Caldwell County,NC,"Caldwell County, NC"
North Carolina,Wilson,Conventional,37195,Wilson County,NC,"Wilson County, NC"
North Carolina,Chatham,Conventional,37037,Chatham County,NC,"Chatham County, NC"
North Carolina,Surry,Conventional,37171,Surry County,NC,"Surry County, NC"
North Carolina,Franklin,Conventional,37069,Franklin County,NC,"Franklin County, NC"
North Carolina,Carteret,Conventional,37031,Carteret County,NC,"Carteret County, NC"
North Carolina,Wilkes,Conventional,37193,Wilkes County,NC,"Wilkes County, NC"
North Carolina,Rutherford,Conventional,37161,Rutherford County,NC,"Rutherford County, NC"
North Carolina,Lee,Conventional,37105,Lee County,NC,"Lee County, NC"
North Carolina,Stanly,Conventional,37167,Stanly County,NC,"Stanly County, NC"
North Carolina,Haywood,Conventional,37087,Haywood County,NC,"Haywood County, NC"
North Carolina,Pender,Conventional,37141,Pender County,NC,"Pender County, NC"
North Carolina,Granville,Conventional,37077,Granville County,NC,"Granville County, NC"
North Carolina,Sampson,Conventional,37163,Sampson County,NC,"Sampson County, NC"
North Carolina,Lenoir,Conventional,37107,Lenoir County,NC,"Lenoir County, NC"
North Carolina,Watauga,Conventional,37189,Watauga County,NC,"Watauga County, NC"
North Carolina,Hoke,Conventional,37093,Hoke County,NC,"Hoke County, NC"
North Carolina,Columbus,Conventional,37047,Columbus County,NC,"Columbus County, NC"
North Carolina,Duplin,Conventional,37061,Duplin County,NC,"Duplin County, NC"
North Carolina,Edgecombe,Conventional,37065,Edgecombe County,NC,"Edgecombe County, NC"
North Carolina,Halifax,Conventional,37083,Halifax County,NC,"Halifax County, NC"
North Carolina,Beaufort,Conventional,37013,Beaufort County,NC,"Beaufort County, NC"
North Carolina,Stokes,Conventional,37169,Stokes County,NC,"Stokes County, NC"
North Carolina,McDowell,Conventional,37111,McDowell County,NC,"McDowell County, NC"
North Carolina,Richmond,Conventional,37153,Richmond County,NC,"Richmond County, NC"
North Carolina,Davie,Conventional,37059,Davie County,NC,"Davie County, NC"
North Carolina,Vance,Conventional,37181,Vance County,NC,"Vance County, NC"
North Carolina,Jackson,Conventional,37099,Jackson County,NC,"Jackson County, NC"
North Carolina,Pasquotank,Conventional,37139,Pasquotank County,NC,"Pasquotank County, NC"
North Carolina,Person,Conventional,37145,Person County,NC,"Person County, NC"
